Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity
4/30/2018,9268.7175,642123,3.11E+19,3991875,392488775,1.73E+22,36.71911167,4360916.714,124.589996,40.5,15.38,264.51001,119.099998,24.129999,3.145907759,18
5/1/2018,8949.87624,632638,3.15E+19,3989900,392808416,1.73E+22,31.75790178,4358522.857,123.709999,40.23,15.24,264.980011,118.410004,24.290001,3.19244481,14
5/2/2018,9029.47875,683381,2.80E+19,3988150,393118386,1.73E+22,38.88684015,4356129,123.650002,40.419998,15.42,263.200012,118.279999,24.4,3.19244481,14
5/3/2018,9228.8525,663164,3.01E+19,3986262.5,393453789,1.73E+22,39.40065166,4356425.857,124.279999,40.279999,15.46,262.619995,118.809998,24.299999,3.19244481,14
5/4/2018,9572.69875,695589,2.79E+19,3984537.5,393772454,1.73E+22,39.37853649,4356722.714,124.540001,40.549999,15.54,266.019989,118.989998,24.33,3.19244481,14
5/5/2018,9817.5975,625684,3.18E+19,3982525,394064560,1.73E+22,32.17831497,4357019.571,124.540001,40.549999,15.54,266.019989,118.989998,24.33,3.19244481,14
5/6/2018,9845.54375,533400,2.76E+19,3980812.5,394306313,1.73E+22,31.28195837,4357316.429,124.540001,40.549999,15.54,266.019989,118.989998,24.33,3.19244481,14
5/7/2018,9326.76125,660188,2.98E+19,3978937.5,394602630,1.73E+22,35.90014262,4357613.286,124.57,40.650002,15.52,266.920013,118.800003,24.379999,3.19244481,14
5/8/2018,9424.99124,664930,2.80E+19,3977200,394914118,1.73E+22,34.29413578,4357910.143,124.589996,41.029999,15.51,266.920013,118.690002,24.469999,3.19244481,14
5/9/2018,9039.02875,612043,3.17E+19,3975200,395217765,1.73E+22,30.52956993,4358207,124.330002,41.84,15.53,269.5,117.980003,24.469999,3.19244481,14
5/10/2018,9327.04999,617381,3.10E+19,3973275,395523770,1.73E+22,26.71177891,4355264.429,125.18,42.139999,15.74,272.019989,118.93,24.360001,3.19244481,14
5/11/2018,8920.25625,758779,2.60E+19,3971687.5,395826215,1.78E+22,38.61210375,4352321.857,125,42.150002,15.7,272.850006,119.230003,24.32,3.19244481,14
5/12/2018,8408.35875,588527,3.42E+19,3969625,396083381,1.78E+22,28.38834405,4349379.286,125,42.150002,15.7,272.850006,119.230003,24.32,3.19244481,14
5/13/2018,8442.23875,483616,3.04E+19,3967775,396314349,1.78E+22,23.33858622,4346436.714,125,42.150002,15.7,272.850006,119.230003,24.32,3.19244481,14
5/14/2018,8398.86249,636140,2.70E+19,3966125,396621879,1.78E+22,35.25774075,4343494.143,124.489998,42.470001,15.56,272.980011,118.599998,24.35,3.19244481,14
5/15/2018,8711.38875,640168,3.01E+19,3964300,396937156,1.78E+22,37.83474629,4340551.571,122.480003,42.470001,15.33,271.100006,117.25,24.5,3.19244481,14
5/16/2018,8159.25625,604416,3.75E+19,3962062.5,397232481,1.78E+22,32.35890796,4337609,122.290001,42.68,15.41,272.23999,116.800003,24.559999,3.19244481,14
