PERMNO,date,TICKER,PRC
16289,2020/04/02,FINX,23.11000
16289,2020/04/03,FINX,22.36000
16289,2020/04/06,FINX,24.49000
16289,2020/04/07,FINX,24.58000
16289,2020/04/08,FINX,25.54000
16289,2020/04/09,FINX,26.14000
16289,2020/04/13,FINX,25.73000
16289,2020/04/14,FINX,26.73000
16289,2020/04/15,FINX,25.73000
16289,2020/04/16,FINX,25.92000
16289,2020/04/17,FINX,26.93000
16289,2020/04/20,FINX,26.56000
16289,2020/04/21,FINX,25.81000
16289,2020/04/22,FINX,26.67340
16289,2020/04/23,FINX,26.68000
16289,2020/04/24,FINX,27.12000
16289,2020/04/27,FINX,27.82000
16289,2020/04/28,FINX,27.40000
16289,2020/04/29,FINX,28.29000
16289,2020/04/30,FINX,28.07000
16289,2020/05/01,FINX,27.30000
16289,2020/05/04,FINX,27.87000
16289,2020/05/05,FINX,28.42000
16289,2020/05/06,FINX,28.69000
16289,2020/05/07,FINX,29.48000
16289,2020/05/08,FINX,29.79000
16289,2020/05/11,FINX,29.81000
16289,2020/05/12,FINX,29.03000
16289,2020/05/13,FINX,28.76000
16289,2020/05/14,FINX,28.73000
16289,2020/05/15,FINX,28.95000
16289,2020/05/18,FINX,30.08000
16289,2020/05/19,FINX,29.80000
16289,2020/05/20,FINX,30.57000
16289,2020/05/21,FINX,30.45000
16289,2020/05/22,FINX,30.67000
16289,2020/05/26,FINX,31.28000
16289,2020/05/27,FINX,31.32000
16289,2020/05/28,FINX,31.53000
16289,2020/05/29,FINX,32.15000
16289,2020/06/01,FINX,32.81000
16289,2020/06/02,FINX,33.11000
16289,2020/06/03,FINX,33.69000
16289,2020/06/04,FINX,33.21000
16289,2020/06/05,FINX,33.58000
16289,2020/06/08,FINX,33.80000
16289,2020/06/09,FINX,33.52000
16289,2020/06/10,FINX,33.79000
16289,2020/06/11,FINX,31.90000
16289,2020/06/12,FINX,32.44600
16289,2020/06/15,FINX,33.03000
16289,2020/06/16,FINX,33.60660
16289,2020/06/17,FINX,33.99000
16289,2020/06/18,FINX,33.47000
16289,2020/06/19,FINX,32.88000
16289,2020/06/22,FINX,33.38000
16289,2020/06/23,FINX,33.60000
16289,2020/06/24,FINX,32.41000
16289,2020/06/25,FINX,32.88000
16289,2020/06/26,FINX,32.25000
16289,2020/06/29,FINX,32.62000
16289,2020/06/30,FINX,33.22340
16289,2020/07/01,FINX,33.85000
16289,2020/07/02,FINX,34.12000
16289,2020/07/06,FINX,34.55000
16289,2020/07/07,FINX,34.32000
16289,2020/07/08,FINX,35.06000
16289,2020/07/09,FINX,35.03000
16289,2020/07/10,FINX,34.93000
16289,2020/07/13,FINX,34.02000
16289,2020/07/14,FINX,34.03000
16289,2020/07/15,FINX,34.61000
16289,2020/07/16,FINX,34.08000
16289,2020/07/17,FINX,34.50000
16289,2020/07/20,FINX,35.46000
16289,2020/07/21,FINX,35.59000
16289,2020/07/22,FINX,35.85000
16289,2020/07/23,FINX,35.31000
16289,2020/07/24,FINX,34.73000
16289,2020/07/27,FINX,35.36000
16289,2020/07/28,FINX,34.99000
16289,2020/07/29,FINX,35.89000
16289,2020/07/30,FINX,35.86000
16289,2020/07/31,FINX,35.78000
16289,2020/08/03,FINX,36.51000
16289,2020/08/04,FINX,36.38000
16289,2020/08/05,FINX,36.91000
16289,2020/08/06,FINX,37.32000
16289,2020/08/07,FINX,36.99000
16289,2020/08/10,FINX,36.15000
16289,2020/08/11,FINX,35.91000
16289,2020/08/12,FINX,36.15000
16289,2020/08/13,FINX,36.47000
